"Year","Subregion","subregion.code","Species","date","present"
1985,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1985-01-01,8
1986,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1986-01-01,9
1987,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1987-01-01,10
1988,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1988-01-01,11
1989,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1989-01-01,12
1990,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1990-01-01,13
1991,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1991-01-01,14
1992,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1992-01-01,15
1993,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1993-01-01,16
1994,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1994-01-01,17
1995,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1995-01-01,18
1996,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1996-01-01,19
1997,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1997-01-01,20
1998,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1998-01-01,21
1999,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1999-01-01,22
2000,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2000-01-01,23
2001,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2001-01-01,24
2002,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2002-01-01,25
2003,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2003-01-01,26
2004,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2004-01-01,27
2005,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2005-01-01,28
2006,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2006-01-01,29
2007,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2007-01-01,30
2008,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2008-01-01,31
2009,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2009-01-01,32
2010,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2010-01-01,33
2011,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2011-01-01,34
2012,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2012-01-01,35
2013,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2013-01-01,36
2014,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2014-01-01,37
2015,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2015-01-01,38
2016,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2016-01-01,39
2017,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",2017-01-01,40
1978,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1978-01-01,1
1979,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1979-01-01,2
1980,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1980-01-01,3
1981,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1981-01-01,4
1982,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1982-01-01,5
1983,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1983-01-01,6
1984,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1984-01-01,7
1985,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1985-01-01,8
1986,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1986-01-01,9
1987,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1987-01-01,10
1988,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1988-01-01,11
1989,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1989-01-01,12
1990,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1990-01-01,13
1991,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1991-01-01,14
1992,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1992-01-01,15
1993,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1993-01-01,16
1994,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1994-01-01,17
1995,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1995-01-01,18
1996,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1996-01-01,19
1997,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1997-01-01,20
1998,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1998-01-01,21
1999,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1999-01-01,22
2000,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2000-01-01,23
2001,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2001-01-01,24
2002,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2002-01-01,25
2003,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2003-01-01,26
2004,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2004-01-01,27
2005,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2005-01-01,28
2006,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2006-01-01,29
2007,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2007-01-01,30
2008,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2008-01-01,31
2009,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2009-01-01,32
2010,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2010-01-01,33
2011,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2011-01-01,34
2012,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2012-01-01,35
2013,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2013-01-01,36
2014,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2014-01-01,37
2015,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2015-01-01,38
2016,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2016-01-01,39
2017,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",2017-01-01,40
1985,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1985-01-01,1
1986,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1986-01-01,2
1987,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1987-01-01,3
1988,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1988-01-01,4
1989,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1989-01-01,5
1990,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1990-01-01,6
1991,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1991-01-01,7
1992,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1992-01-01,8
1993,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1993-01-01,9
1994,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1994-01-01,10
1995,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1995-01-01,11
1996,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1996-01-01,12
1997,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1997-01-01,13
1998,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1998-01-01,14
1999,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1999-01-01,15
2000,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2000-01-01,16
2001,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2001-01-01,17
2002,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2002-01-01,18
2003,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2003-01-01,19
2004,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2004-01-01,20
2005,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2005-01-01,21
2006,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2006-01-01,22
2007,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2007-01-01,23
2008,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2008-01-01,24
2009,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2009-01-01,25
2010,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2010-01-01,26
2011,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2011-01-01,27
2012,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2012-01-01,28
2013,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2013-01-01,29
2014,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2014-01-01,30
2015,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2015-01-01,31
2016,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",2016-01-01,32
1985,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1985-01-01,NA
1986,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1986-01-01,NA
1987,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1987-01-01,NA
1988,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1988-01-01,NA
1989,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1989-01-01,NA
1990,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1990-01-01,NA
1991,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1991-01-01,NA
1992,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1992-01-01,NA
1993,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1993-01-01,NA
1994,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1994-01-01,NA
1995,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1995-01-01,NA
1996,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1996-01-01,NA
1997,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1997-01-01,NA
1998,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1998-01-01,NA
1999,"Macaronesia","AMA","Caprella scaura Templeton, 1836",1999-01-01,NA
2000,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2000-01-01,NA
2001,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2001-01-01,NA
2002,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2002-01-01,NA
2003,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2003-01-01,NA
2004,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2004-01-01,NA
2005,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2005-01-01,NA
2006,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2006-01-01,NA
2007,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2007-01-01,NA
2008,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2008-01-01,NA
2009,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2009-01-01,1
2010,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2010-01-01,2
2011,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2011-01-01,3
2012,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2012-01-01,4
2013,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2013-01-01,5
2014,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2014-01-01,6
2015,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2015-01-01,7
2016,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2016-01-01,8
1985,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1985-01-01,NA
1986,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1986-01-01,NA
1987,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1987-01-01,NA
1988,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1988-01-01,NA
1989,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1989-01-01,NA
1990,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1990-01-01,NA
1991,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1991-01-01,NA
1992,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1992-01-01,NA
1993,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1993-01-01,NA
1994,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1994-01-01,NA
1995,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1995-01-01,NA
1996,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1996-01-01,NA
1997,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1997-01-01,NA
1998,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1998-01-01,NA
1999,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",1999-01-01,NA
2000,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2000-01-01,NA
2001,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2001-01-01,NA
2002,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2002-01-01,NA
2003,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2003-01-01,NA
2004,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2004-01-01,NA
2005,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2005-01-01,NA
2006,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2006-01-01,NA
2007,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2007-01-01,NA
2008,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2008-01-01,NA
2009,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2009-01-01,NA
2010,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2010-01-01,NA
2011,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2011-01-01,NA
2012,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2012-01-01,NA
2013,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2013-01-01,NA
2014,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2014-01-01,NA
2015,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2015-01-01,NA
2016,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2016-01-01,1
1985,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1985-01-01,NA
1986,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1986-01-01,NA
1987,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1987-01-01,NA
1988,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1988-01-01,NA
1989,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1989-01-01,NA
1990,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1990-01-01,NA
1991,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1991-01-01,NA
1992,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1992-01-01,NA
1993,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1993-01-01,NA
1994,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1994-01-01,1
1995,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1995-01-01,2
1996,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1996-01-01,3
1997,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1997-01-01,4
1998,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1998-01-01,5
1999,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1999-01-01,6
2000,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2000-01-01,7
2001,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2001-01-01,8
2002,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2002-01-01,9
2003,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2003-01-01,10
2004,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2004-01-01,11
2005,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2005-01-01,12
2006,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2006-01-01,13
2007,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2007-01-01,14
2008,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2008-01-01,15
2009,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2009-01-01,16
2010,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2010-01-01,17
2011,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2011-01-01,18
2012,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2012-01-01,19
2013,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2013-01-01,20
2014,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2014-01-01,21
2015,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2015-01-01,22
2016,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",2016-01-01,23
1985,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1985-01-01,NA
1986,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1986-01-01,NA
1987,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1987-01-01,NA
1988,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1988-01-01,NA
1989,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1989-01-01,NA
1990,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1990-01-01,NA
1991,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1991-01-01,NA
1992,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1992-01-01,NA
1993,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1993-01-01,NA
1994,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1994-01-01,NA
1995,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1995-01-01,NA
1996,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1996-01-01,NA
1997,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1997-01-01,NA
1998,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1998-01-01,NA
1999,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",1999-01-01,NA
2000,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2000-01-01,NA
2001,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2001-01-01,NA
2002,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2002-01-01,NA
2003,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2003-01-01,NA
2004,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2004-01-01,NA
2005,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2005-01-01,NA
2006,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2006-01-01,NA
2007,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2007-01-01,NA
2008,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2008-01-01,NA
2009,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2009-01-01,NA
2010,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2010-01-01,NA
2011,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2011-01-01,NA
2012,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2012-01-01,1
2013,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2013-01-01,2
2014,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2014-01-01,3
2015,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2015-01-01,4
2016,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2016-01-01,5
1985,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1985-01-01,NA
1986,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1986-01-01,NA
1987,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1987-01-01,NA
1988,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1988-01-01,NA
1989,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1989-01-01,NA
1990,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1990-01-01,NA
1991,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1991-01-01,NA
1992,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1992-01-01,NA
1993,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1993-01-01,NA
1994,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1994-01-01,NA
1995,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1995-01-01,NA
1996,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1996-01-01,NA
1997,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1997-01-01,NA
1998,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1998-01-01,NA
1999,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",1999-01-01,NA
2000,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2000-01-01,NA
2001,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2001-01-01,NA
2002,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2002-01-01,1
2003,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2003-01-01,2
2004,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2004-01-01,3
2005,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2005-01-01,4
2006,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2006-01-01,5
2007,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2007-01-01,6
2008,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2008-01-01,7
2009,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2009-01-01,8
2010,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2010-01-01,9
2011,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2011-01-01,10
2012,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2012-01-01,11
2013,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2013-01-01,12
2014,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2014-01-01,13
2015,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2015-01-01,14
2016,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2016-01-01,15
1985,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1985-01-01,NA
1986,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1986-01-01,NA
1987,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1987-01-01,NA
1988,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1988-01-01,NA
1989,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1989-01-01,NA
1990,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1990-01-01,NA
1991,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1991-01-01,NA
1992,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1992-01-01,NA
1993,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1993-01-01,NA
1994,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1994-01-01,NA
1995,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1995-01-01,NA
1996,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1996-01-01,NA
1997,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1997-01-01,NA
1998,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1998-01-01,NA
1999,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",1999-01-01,NA
2000,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2000-01-01,NA
2001,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2001-01-01,NA
2002,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2002-01-01,NA
2003,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2003-01-01,1
2004,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2004-01-01,2
2005,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2005-01-01,3
2006,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2006-01-01,4
2007,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2007-01-01,5
2008,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2008-01-01,6
2009,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2009-01-01,7
2010,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2010-01-01,8
2011,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2011-01-01,9
2012,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2012-01-01,10
2013,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2013-01-01,11
2014,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2014-01-01,12
2015,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2015-01-01,13
2016,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2016-01-01,14
1982,"Bay of Biscay & Iberian Coast","ABI","Chaetozone corona Berkeley & Berkeley, 1941",1982-01-01,NA
1983,"Bay of Biscay & Iberian Coast","ABI","Chaetozone corona Berkeley & Berkeley, 1941",1983-01-01,NA
1984,"Bay of Biscay & Iberian Coast","ABI","Chaetozone corona Berkeley & Berkeley, 1941",1984-01-01,NA
1985,"Bay of Biscay & Iberian Coast","ABI","Chaetozone corona Berkeley & Berkeley, 1941",1985-01-01,NA
